h_a;xG;xGA;Dif;scored;missed;xpts;result;date;result;wins;draws;loses;pts;team_name;league_name;year
a;0.717538;2.8788;-2.161262;0;5;0.2125;l;31/01/2015;L;0;0;1;0;Paderborn;Bundesliga;2014
h;0.380499;3.12815;-2.747651;0;6;0.0577;l;21/02/2015;L;0;0;1;0;Paderborn;Bundesliga;2014
a;0.123904;3.20767;-3.083766;0;3;0.034;l;18/04/2015;L;0;0;1;0;Paderborn;Bundesliga;2014
a;0.353371;2.69285;-2.339479;0;2;0.1339;l;27/09/2014;L;0;0;1;0;Verona;Serie_A;2014
a;0.796178;4.61346;-3.817282;2;6;0.0299;l;26/10/2014;L;0;0;1;0;Verona;Serie_A;2014
h;0.50954;2.88579;-2.37625;1;2;0.0863;l;31/05/2015;L;0;0;1;0;Roma;Serie_A;2014
a;0.26723;2.83189;-2.56466;0;3;0.0451;l;29/10/2014;L;0;0;1;0;Udinese;Serie_A;2014
a;0.252527;2.4423;-2.189773;0;2;0.091;l;30/11/2014;L;0;0;1;0;Udinese;Serie_A;2014
h;1.90478;4.31492;-2.41014;1;4;0.2632;l;10/05/2015;L;0;0;1;0;Udinese;Serie_A;2014
a;0.345972;2.57992;-2.233948;1;1;0.0517;d;09/11/2014;D;0;1;0;1;Genoa;Serie_A;2014
h;0.293159;3.49576;-3.202601;0;1;0.0363;l;14/12/2014;L;0;0;1;0;Genoa;Serie_A;2014
a;0.574542;2.93897;-2.364428;1;2;0.1518;l;26/01/2015;L;0;0;1;0;Genoa;Serie_A;2014
a;0.468908;3.50318;-3.034272;1;5;0.0525;l;01/02/2015;L;0;0;1;0;Sampdoria;Serie_A;2014
a;0.274328;2.34955;-2.075222;2;4;0.1428;l;26/04/2015;L;0;0;1;0;Sampdoria;Serie_A;2014
a;0.483421;3.96571;-3.482289;0;7;0.0279;l;14/09/2014;L;0;0;1;0;Sassuolo;Serie_A;2014
